afternoon
first
how
how
much
how
often
inside
last
loudly
more
most
near
never
o’clock
off
often
on
only
out
outside
quickly
quietly
round
second
slowly
sometimes
then
third
top
up
upstairs
well
when
worse
worst
yesterday
actually
after
ago
already
also
anywhere
as
as
…
as
at
the
moment
away
before
by
myself
by
yourself
early
else
ever
everywhere
far
fast
hard
how
long
instead
just
late
later
a
little
much
next
nowhere
of
course
once
over
perhaps
quite
so
somewhere
soon
still
straight
on
suddenly
together
tomorrow
tonight
usually
yet
about
behind
between
for
from
in
front
of
next
to
of
to
under
with
above
after
along
around
at
before
below
by
down
into
near
off
opposite
out
of
up
across
during
for
over
past
since
through
until
without
and
but
or
because
than
when
after
before
if
so
while
he
her
hers
him
his
i
it
its
a
lot
lots
me
mine
one
ours
she
that
theirs
them
these
they
this
those
us
we
you
yours
all
another
any
both
everyone
everything
more
most
nothing
someone
something
where
which
who
anyone
anything
each
enough
much
no-one
other
be
can
catch
choose
come
do
draw
drink
drive
eat
find
fly
get
give
go
go
to
bed
go
to
sleep
have
have
got
hit
hold
know
learn
let’s
make
put
read
ride
run
say
see
sing
sit
sleep
spell
stand
swim
take
a
photo
picture
tell
throw
understand
wear
write
be
called
bring
build
buy
catch
to
hide
hurt
lose
mean
must
put
on
send
take
take
off
get
undressed
teach
think
wake
begin
break
cut
fall
over
feel
find
out
forget
get
to
go
out
hear
keep
leave
let
lie
teach
add
answer
ask
bounce
clap
clean
close
colour
complete
count
cross
enjoy
jump
kick
like
listen
live
look
look
love
open
paint
phone
pick
up
play
point
show
smile
start
stop
talk
tick
try
walk
want
watch
wave
call
carry
change
climb
cook
cry
dance
dream
dress
up
drop
dry
email
film
fish
fix
help
hop
invite
laugh
look
for
move
need
plant
practise
rain
sail
shop
shout
skate
skip
snow
text
travel
video
wait
wash
water
work
act
agree
appear
arrive
believe
borrow
brush
burn
camp
chat
collect
comb
cycle
decide
design
disappear
end
enter
explain
explore
fetch
finish
follow
glue
guess
happen
hate
hope
hurry
improve
invent
join
use
visit
whisper
whistle
wish
can
could
must
shall
would
may
might
should
will
how
how
many
how
old
pardon
what
where
which
who
whose
how
much
how
often
when
why
how
long
