afternoon
skateboarding
skirt
smile
snake
soccer
sock
sofa
song
spider
sport
store
story
street
sue
sun
sweet
table
table
tennis
tablet
tail
teacher
teddy
television
tv
tennis
tennis
racket
thing
tick
tiger
today
tom
tomato
toy
train
tree
trousers
truck
try
t
shirt
tv
television
wall
watch
water
watermelon
window
woman
women
word
year
zebra
zoo
vegetable
vicky
video
village
walk
wash
waterfall
wave
weather
website
wednesday
week
weekend
whale
wind
work
world
yesterday
zoe
restaurant
richard
right
ring
robert
rock
music
rocket
rucksack
salt
sarah
science
scissors
score
screen
search
secret
september
shampoo
shelf
silver
singer
ski
skyscraper
sledge
smell
snack
snowball
snowboard
snowboarding
snowman
soap
sophia
sound
south
space
spaceship
spoon
spot
spring
stadium
stage
stamp
step
stone
storm
strawberry
stream
stripe
student
sugar
suitcase
summer
sunglasses
surname
surprise
swan
swing
taste
taxi
team
telephone
tent
theatre
thousand
time
timetable
toe
tomorrow
tonight
torch
tortoise
tour
traffic
trainers
tune
tyre
umbrella
uniform
university
view
violin
volleyball
waiter
way
west
wheel
wife
wifi
william
win
wing
winner
winter
wish
wood
wool
x
ray
yoghurt
subject
zero
angry
beautiful
big
black
blue
brown
clean
closed
cool
correct
dirty
double
english
fantastic
favourite
fun
funny
good
gray
great
green
grey
happy
long
new
nice
old
open
orange
paper
pink
purple
red
right
sad
scary
short
silly
small
ugly
white
yellow
young
afraid
all
right
asleep
awake
bad
best
better
blond
boring
bottom
brave
brilliant
busy
careful
clever
cloudy
cold
curly
dangerous
different
difficult
dry
easy
exciting
fair
famous
fat
fine
first
frightened
hot
huge
hungry
ill
last
little
loud
naughty
pretty
quick
quiet
safe
second
sick
slow
square
straight
strong
sunny
surprised
sweet
tall
terrible
thin
third
thirsty
tired
weak
well
wet
windy
worse
worst
wrong
alone
amazing
bored
broken
cheap
dark
dear
deep
delicious
early
empty
enormous
enough
excellent
excited
expensive
extinct
far
fast
foggy
friendly
frightening
front
full
furry
glass
gold
half
hard
heavy
high
horrible
important
interested
interesting
kind
large
late
lazy
left
light
lovely
low
lucky
married
metal
middle
missing
next
noisy
online
plastic
pleased
poor
popular
racing
ready
rich
right
same
several
silver
soft
sore
special
spotted
strange
striped
sure
tidy
unfriendly
unhappy
unkind
untidy
unusual
warm
wild
wonderful
worried
a
a
lot
of
an
lots
of
many
no
one
some
that
the
these
this
those
all
another
any
both
every
more
most
each
a
few
a
little
much
other
such
again
here
home
a
lot
lots
no
not
now
really
there
today
too
very
yes
all
all
right
always
back
badly
best
better
carefully
down
downstairs
first
how
how
much
how
often
inside
last
loudly
more
most
near
never
o
clock
off
often
on
only
out
outside
quickly
quietly
round
second
slowly
sometimes
then
third
top
up
upstairs
well
when
worse
worst
yesterday
actually
after
ago
already
also
anywhere
as
as
as
at
the
moment
away
before
by
myself
by
yourself
early
else
ever
everywhere
far
fast
hard
how
long
instead
just
late
later
a
little
much
next
nowhere
of
course
once
over
perhaps
quite
so
somewhere
soon
still
straight
on
suddenly
together
tomorrow
tonight
usually
yet
about
behind
between
for
from
in
front
of
next
to
of
to
under
with
above
after
along
around
at
before
below
by
down
into
near
off
opposite
out
of
up
across
during
for
over
past
since
through
until
without
and
but
or
because
than
when
after
before
if
so
while
he
her
hers
him
his
i
it
its
a
lot
lots
me
mine
one
ours
she
that
theirs
them
these
they
this
those
us
we
you
yours
all
another
any
both
everyone
everything
more
most
nothing
someone
something
where
which
who
anyone
anything
each
enough
much
no
one
other
be
can
catch
choose
come
do
draw
drink
drive
eat
find
fly
get
give
go
go
to
bed
go
to
sleep
have
have
got
hit
hold
know
learn
let
s
make
put
read
ride
run
say
see
sing
sit
sleep
spell
stand
swim
take
a
photo
picture
tell
throw
understand
wear
write
be
called
bring
build
buy
catch
fall
feed
get
dressed
get
go
shopping
grow
have
to
hide
hurt
lose
mean
must
put
on
send
take
take
off
get
undressed
teach
think
wake
begin
break
cut
fall
over
feel
find
out
forget
get
to
go
out
hear
keep
leave
let
lie
make
sure
meet
sell
send
should
smell
speak
spend
swing
take
teach
add
answer
ask
bounce
clap
clean
close
colour
complete
count
cross
enjoy
jump
kick
like
listen
live
look
look
love
open
paint
phone
pick
up
play
point
show
smile
start
stop
talk
tick
try
walk
want
watch
wave
call
carry
change
climb
cook
cry
dance
dream
dress
up
drop
dry
email
film
fish
fix
help
hop
invite
laugh
look
for
move
need
plant
practise
rain
sail
shop
shout
skate
skip
snow
text
travel
video
wait
wash
water
work
act
agree
appear
arrive
believe
borrow
brush
burn
camp
chat
collect
comb
cycle
decide
design
disappear
end
enter
explain
explore
fetch
finish
follow
glue
guess
happen
hate
hope
hurry
improve
invent
join
land
lift
look
after
look
like
mind
mix
post
prefer
prepare
pull
push
race
remember
repair
repeat
save
score
search
ski
sledge
sound
stay
study
taste
thank
tidy
touch
turn
turn
use
visit
whisper
whistle
wish
can
could
must
shall
would
may
might
should
will
how
how
many
how
old
pardon
what
where
which
who
whose
how
much
how
often
when
why
how
long
